ID,Label,Gender,Origin
174,Alexandre Weill,M,French
175,Hieronymus van Alphen,M,Dutch
176,Elizabeth Wetherell,F,American
177,Rosina Bulwer Lytton,F,Irish
178,Lode Baekelmans,M,Belgian
179,Gerard van Hulzen,M,Dutch
180,August Vermeylen,M,Belgian
181,Karel van de Woestijne,M,Belgian
182,Fyodor Dostoyevsky,M,Belgian
183,Knut Hamsun,M,Norwegian
184,Willem Godschalck van Focquenbroch,M,Dutch
185,Antoine Wiertz,M,Belgian
186,Lambrecht Lambrechts,M,Belgian
187,Louisa Duyckers,F,Belgian
188,Johan W. Broedelet,M,Dutch
189,André Theuriet,M,French
190,Gerhart Hauptmann,M,German
191,van Deyssel,M,Dutch
192,Eugène Laermans,M,Belgian
193,Reimond Stijns,M,Belgian
194,Isidoor Teirlinck,M,Belgian
195,Camille Lemonnier,M,Belgian
196,Anton Bergmann,M,Belgian
197,Renier Snieders,M,Belgian
198,Jacob Frans Johan Heremans,M,Belgian
199,Petrus Augustus de Génestet,M,Dutch
200,Eugenie John,F,German
201,John Watson,M,English
202,Peter Rosegger,M,Austrian
203,Ludwig Anzengruber,M,Austrian
204,Alphonse de Lamartine,M,French
205,Karel Lodewijk Ledeganck,M,Belgian
206,Florimond van Duyse,M,Belgian
207,Frans de Cort,M,Belgian
208,Johanna Courtmans-Berchmans,F,Belgian
209,Pol de Mont,M,Belgian
210,Maurits Sabbe,M,Belgian
211,Prosper Mérimée,M,French
212,Friedrich Rückert,M,German
213,Charles Rochussen,M,Dutch
214,Jozef Israëls,M,Dutch
215,Charles Kingsley,M,English
216,Samuel Richardson,M,English
217,Henry Fielding,M,English
218,Alexander ver Huell,M,Dutch
219,Mark Prager Lindo,M,Dutch
220,H.A. Banning,M,Dutch
221,August Snieders,M,Belgian
222,François Coppée,M,French
223,Jan Jacob Alfried de Laet,M,Belgian
224,Emmanuel Rosseels,M,Belgian
225,Peter Paul Rubens,M,Belgian
226,Rembrandt,M,Dutch
227,David Teniers the Younger,M,Belgian
228,Pieter de Hooch,M,Dutch
229,Adriaen Brouwer,M,Belgian
230,Ardriaen van Ostade,M,Dutch
231,Gustave Courbet,M,French
232,Johann Peter Hebel,M,German
233,Hendrik Tillema,M,Dutch
234,Harm Boom,M,Dutch
235,Dubbeld Hemsing van der Scheer,M,Dutch
236,J. van der Veen,M,Dutch
237,Wilkie Collins,M,English
238,Otto Ernst,M,German
239,Gustaaf Segers,M,Belgian
240,Jean Paul,M,German
241,Georg Christoph Lichtenberg,M,German
242,Matthias Claudius,M,German
243,Siebold Ulfers,M,Dutch
244,Charles M Sheldon,M,American
245,Herman Heijermans,M,Dutch
246,François Rabelais,M,French
247,Sophocles,M,Greek
248,Charles Baudelaire,M,French
249,Henri Murger,M,French
250,Job Steynen,M,Dutch
251,Pieter van der Meer de Walcheren,M,Dutch
252,Emmanuel de Bom,M,Belgian
253,Justus van Maurik,M,Dutch
